2026-06-02 21:46:32,156 | WARNING | services.startup_guards | - | startup_guard: MONGO_URL embeds username and password directly in the connection string. Move credentials to a secret manager or use environment variable interpolation.
2026-06-02 21:57:09,496 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=525
2026-06-02 21:57:09,768 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=526
2026-06-02 21:57:09,884 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=527
2026-06-02 21:57:10,251 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=screenshot stream_logs_count=528
2026-06-02 21:57:10,661 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=529
2026-06-02 21:57:10,857 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Success state detected' type=run_status stream_logs_count=530
2026-06-02 21:57:11,390 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Step finished: click' type=timeline_step stream_logs_count=531
2026-06-02 21:57:11,602 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=532
2026-06-02 21:57:12,015 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=533
2026-06-02 21:57:12,184 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=selector_diagnostics stream_logs_count=534
2026-06-02 21:57:12,313 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=535
2026-06-02 21:57:12,446 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=536
2026-06-02 21:57:12,564 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Executing verify on inventory page' type=action_execution stream_logs_count=537
2026-06-02 21:57:12,874 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=screenshot stream_logs_count=538
2026-06-02 21:57:13,001 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Retrying verify via selector locator: .inventory_list' type=recovery_attempt stream_logs_count=539
2026-06-02 21:57:13,119 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=540
2026-06-02 21:57:13,620 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=541
2026-06-02 21:57:13,946 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Recovered step: verify' type=timeline_step stream_logs_count=542
2026-06-02 21:57:14,131 | INFO | services.execution | None | Closed shared browser session after execution-complete
2026-06-02 21:57:14,276 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Execution finished' type=run_status stream_logs_count=543
2026-06-02 21:57:15,500 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: input -> Normalized Action: input' type=action_translation stream_logs_count=550
2026-06-02 21:57:15,640 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: click -> Normalized Action: click' type=action_translation stream_logs_count=551
2026-06-02 21:57:15,773 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Original Action: verify -> Normalized Action: verify' type=action_translation stream_logs_count=552
2026-06-02 21:57:15,889 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Executing scenario: Forms - Invalid Formats' type=run_status stream_logs_count=553
2026-06-02 21:57:16,115 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Starting scenario timer: Forms - Invalid Formats' type=run_status stream_logs_count=554
2026-06-02 21:57:16,264 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Using shared BrowserSessionManager' type=run_status stream_logs_count=555
2026-06-02 21:57:16,921 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Opening https://www.saucedemo.com/' type=run_status stream_logs_count=556
2026-06-02 21:57:17,110 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=557
2026-06-02 21:57:18,069 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=558
2026-06-02 21:57:18,224 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Opened https://www.saucedemo.com/' type=run_status stream_logs_count=559
2026-06-02 21:57:18,456 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Authenticated SauceDemo session detected; redirecting to inventory page' type=run_status stream_logs_count=560
2026-06-02 21:57:18,594 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=561
2026-06-02 21:57:19,108 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=562
2026-06-02 21:57:19,235 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=563
2026-06-02 21:57:19,553 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=564
2026-06-02 21:57:19,739 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=selector_diagnostics stream_logs_count=565
2026-06-02 21:57:19,876 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=566
2026-06-02 21:57:20,197 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=567
2026-06-02 21:57:20,342 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Executing input on Username' type=action_execution stream_logs_count=568
2026-06-02 21:57:20,479 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Found Username' type=action_execution stream_logs_count=569
2026-06-02 21:57:20,608 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='Typing value into Username' type=action_execution stream_logs_count=570
2026-06-02 21:57:20,749 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=571
2026-06-02 21:57:22,891 | INFO | phase1 | None | PROGRESS_CALLBACK_WRITE test_id=d669d971-33a4-4597-92c8-f5f90d104707 msg='' type=timing stream_logs_count=572
